service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000022022061220230210,0,0,0,0,0,0,1,20220612,20230210
0000000022022061220230610,0,0,0,0,0,0,1,20220612,20230610
0000000022022070120220831,0,0,0,0,0,0,1,20220701,20220831
0000000022022070120230831,0,0,0,0,0,0,1,20220701,20230831
0000000022022080120220831,0,0,0,0,0,0,1,20220801,20220831
0000000022022091220230610,0,0,0,0,0,0,1,20220912,20230610
0000000052022091220221221,1,1,1,1,1,0,0,20220912,20221221
0000000052023010920230405,1,1,1,1,1,0,0,20230109,20230405
0000000052023041120230610,1,1,1,1,1,0,0,20230411,20230610
0000000072021080120220831,1,1,1,1,1,1,0,20210801,20220831
0000000072022061220220630,1,1,1,1,1,1,0,20220612,20220630
0000000072022061220220731,1,1,1,1,1,1,0,20220612,20220731
0000000072022061220220911,1,1,1,1,1,1,0,20220612,20220911
0000000072022061220230610,1,1,1,1,1,1,0,20220612,20230610
0000000072022070120220831,1,1,1,1,1,1,0,20220701,20220831
0000000072022080120220831,1,1,1,1,1,1,0,20220801,20220831
0000000072022090120230610,1,1,1,1,1,1,0,20220901,20230610
0000000072022091220221221,1,1,1,1,1,1,0,20220912,20221221
0000000072022091220230610,1,1,1,1,1,1,0,20220912,20230610
0000000072023010920230405,1,1,1,1,1,1,0,20230109,20230405
0000000072023041120230610,1,1,1,1,1,1,0,20230411,20230610
0000000082022061220220731,1,1,1,1,0,0,0,20220612,20220731
0000000082022090120230610,1,1,1,1,0,0,0,20220901,20230610
0000000082022091220221221,1,1,1,1,0,0,0,20220912,20221221
0000000082023010920230405,1,1,1,1,0,0,0,20230109,20230405
0000000082023041120230610,1,1,1,1,0,0,0,20230411,20230610
0000000172022061220220911,1,1,1,1,1,1,1,20220612,20220911
0000000172022061220230610,1,1,1,1,1,1,1,20220612,20230610
0000000172022070120220831,1,1,1,1,1,1,1,20220701,20220831
0000000172022091220230610,1,1,1,1,1,1,1,20220912,20230610
0000000182022091220230610,1,1,1,1,1,0,0,20220912,20230610
