service_id,date,exception_type
0000000022022061220230210,20220612,1
0000000022022061220230210,20220619,1
0000000022022061220230210,20220626,1
0000000022022061220230210,20220703,1
0000000022022061220230210,20220710,1
0000000022022061220230210,20220717,1
0000000022022061220230210,20220724,1
0000000022022061220230210,20220731,1
0000000022022061220230210,20220807,1
0000000022022061220230210,20220814,1
0000000022022061220230210,20220821,1
0000000022022061220230210,20220828,1
0000000022022061220230210,20220904,1
0000000022022061220230210,20220911,1
0000000022022061220230210,20220918,1
0000000022022061220230210,20220925,1
0000000022022061220230210,20221002,1
0000000022022061220230210,20221009,1
0000000022022061220230210,20221016,1
0000000022022061220230210,20221023,1
0000000022022061220230210,20221030,1
0000000022022061220230210,20221106,1
0000000022022061220230210,20221113,1
0000000022022061220230210,20221120,1
0000000022022061220230210,20221127,1
0000000022022061220230210,20221204,1
0000000022022061220230210,20221211,1
0000000022022061220230210,20221218,1
0000000022022061220230210,20221225,1
0000000022022061220230610,20220612,1
0000000022022061220230610,20220619,1
0000000022022061220230610,20220626,1
0000000022022061220230610,20220703,1
0000000022022061220230610,20220710,1
0000000022022061220230610,20220717,1
0000000022022061220230610,20220724,1
0000000022022061220230610,20220731,1
0000000022022061220230610,20220807,1
0000000022022061220230610,20220814,1
0000000022022061220230610,20220821,1
0000000022022061220230610,20220828,1
0000000022022061220230610,20220904,1
0000000022022061220230610,20220911,1
0000000022022061220230610,20220918,1
0000000022022061220230610,20220925,1
0000000022022061220230610,20221002,1
0000000022022061220230610,20221009,1
0000000022022061220230610,20221016,1
0000000022022061220230610,20221023,1
0000000022022061220230610,20221030,1
0000000022022061220230610,20221106,1
0000000022022061220230610,20221113,1
0000000022022061220230610,20221120,1
0000000022022061220230610,20221127,1
0000000022022061220230610,20221204,1
0000000022022061220230610,20221211,1
0000000022022061220230610,20221218,1
0000000022022061220230610,20221225,1
0000000022022070120220831,20220703,1
0000000022022070120220831,20220710,1
0000000022022070120220831,20220717,1
0000000022022070120220831,20220724,1
0000000022022070120220831,20220731,1
0000000022022070120220831,20220807,1
0000000022022070120220831,20220814,1
0000000022022070120220831,20220821,1
0000000022022070120220831,20220828,1
0000000022022070120230831,20220703,1
0000000022022070120230831,20220710,1
0000000022022070120230831,20220717,1
0000000022022070120230831,20220724,1
0000000022022070120230831,20220731,1
0000000022022070120230831,20220807,1
0000000022022070120230831,20220814,1
0000000022022070120230831,20220821,1
0000000022022070120230831,20220828,1
0000000022022070120230831,20220904,1
0000000022022070120230831,20220911,1
0000000022022070120230831,20220918,1
0000000022022070120230831,20220925,1
0000000022022070120230831,20221002,1
0000000022022070120230831,20221009,1
0000000022022070120230831,20221016,1
0000000022022070120230831,20221023,1
0000000022022070120230831,20221030,1
0000000022022070120230831,20221106,1
0000000022022070120230831,20221113,1
0000000022022070120230831,20221120,1
0000000022022070120230831,20221127,1
0000000022022070120230831,20221204,1
0000000022022070120230831,20221211,1
0000000022022070120230831,20221218,1
0000000022022070120230831,20221225,1
0000000022022080120220831,20220807,1
0000000022022080120220831,20220814,1
0000000022022080120220831,20220821,1
0000000022022080120220831,20220828,1
0000000022022091220230610,20220918,1
0000000022022091220230610,20220925,1
0000000022022091220230610,20221002,1
0000000022022091220230610,20221009,1
0000000022022091220230610,20221016,1
0000000022022091220230610,20221023,1
0000000022022091220230610,20221030,1
0000000022022091220230610,20221106,1
0000000022022091220230610,20221113,1
0000000022022091220230610,20221120,1
0000000022022091220230610,20221127,1
0000000022022091220230610,20221204,1
0000000022022091220230610,20221211,1
0000000022022091220230610,20221218,1
0000000022022091220230610,20221225,1
0000000052022091220221221,20220918,2
0000000052022091220221221,20220925,2
0000000052022091220221221,20221002,2
0000000052022091220221221,20221009,2
0000000052022091220221221,20221016,2
0000000052022091220221221,20221023,2
0000000052022091220221221,20221030,2
0000000052022091220221221,20221106,2
0000000052022091220221221,20221113,2
0000000052022091220221221,20221120,2
0000000052022091220221221,20221127,2
0000000052022091220221221,20221204,2
0000000052022091220221221,20221211,2
0000000052022091220221221,20221218,2
0000000072021080120220831,20220612,2
0000000072021080120220831,20220619,2
0000000072021080120220831,20220626,2
0000000072021080120220831,20220703,2
0000000072021080120220831,20220710,2
0000000072021080120220831,20220717,2
0000000072021080120220831,20220724,2
0000000072021080120220831,20220731,2
0000000072021080120220831,20220807,2
0000000072021080120220831,20220814,2
0000000072021080120220831,20220821,2
0000000072021080120220831,20220828,2
0000000072022061220220630,20220612,2
0000000072022061220220630,20220619,2
0000000072022061220220630,20220626,2
0000000072022061220220731,20220612,2
0000000072022061220220731,20220619,2
0000000072022061220220731,20220626,2
0000000072022061220220731,20220703,2
0000000072022061220220731,20220710,2
0000000072022061220220731,20220717,2
0000000072022061220220731,20220724,2
0000000072022061220220731,20220731,2
0000000072022061220220911,20220612,2
0000000072022061220220911,20220619,2
0000000072022061220220911,20220626,2
0000000072022061220220911,20220703,2
0000000072022061220220911,20220710,2
0000000072022061220220911,20220717,2
0000000072022061220220911,20220724,2
0000000072022061220220911,20220731,2
0000000072022061220220911,20220807,2
0000000072022061220220911,20220814,2
0000000072022061220220911,20220821,2
0000000072022061220220911,20220828,2
0000000072022061220220911,20220904,2
0000000072022061220220911,20220911,2
0000000072022061220230610,20220612,2
0000000072022061220230610,20220619,2
0000000072022061220230610,20220626,2
0000000072022061220230610,20220703,2
0000000072022061220230610,20220710,2
0000000072022061220230610,20220717,2
0000000072022061220230610,20220724,2
0000000072022061220230610,20220731,2
0000000072022061220230610,20220807,2
0000000072022061220230610,20220814,2
0000000072022061220230610,20220821,2
0000000072022061220230610,20220828,2
0000000072022061220230610,20220904,2
0000000072022061220230610,20220911,2
0000000072022061220230610,20220918,2
0000000072022061220230610,20220925,2
0000000072022061220230610,20221002,2
0000000072022061220230610,20221009,2
0000000072022061220230610,20221016,2
0000000072022061220230610,20221023,2
0000000072022061220230610,20221030,2
0000000072022061220230610,20221106,2
0000000072022061220230610,20221113,2
0000000072022061220230610,20221120,2
0000000072022061220230610,20221127,2
0000000072022061220230610,20221204,2
0000000072022061220230610,20221211,2
0000000072022061220230610,20221218,2
0000000072022061220230610,20221225,2
0000000072022070120220831,20220703,2
0000000072022070120220831,20220710,2
0000000072022070120220831,20220717,2
0000000072022070120220831,20220724,2
0000000072022070120220831,20220731,2
0000000072022070120220831,20220807,2
0000000072022070120220831,20220814,2
0000000072022070120220831,20220821,2
0000000072022070120220831,20220828,2
0000000072022080120220831,20220807,2
0000000072022080120220831,20220814,2
0000000072022080120220831,20220821,2
0000000072022080120220831,20220828,2
0000000072022090120230610,20220904,2
0000000072022090120230610,20220911,2
0000000072022090120230610,20220918,2
0000000072022090120230610,20220925,2
0000000072022090120230610,20221002,2
0000000072022090120230610,20221009,2
0000000072022090120230610,20221016,2
0000000072022090120230610,20221023,2
0000000072022090120230610,20221030,2
0000000072022090120230610,20221106,2
0000000072022090120230610,20221113,2
0000000072022090120230610,20221120,2
0000000072022090120230610,20221127,2
0000000072022090120230610,20221204,2
0000000072022090120230610,20221211,2
0000000072022090120230610,20221218,2
0000000072022090120230610,20221225,2
0000000072022091220221221,20220918,2
0000000072022091220221221,20220925,2
0000000072022091220221221,20221002,2
0000000072022091220221221,20221009,2
0000000072022091220221221,20221016,2
0000000072022091220221221,20221023,2
0000000072022091220221221,20221030,2
0000000072022091220221221,20221106,2
0000000072022091220221221,20221113,2
0000000072022091220221221,20221120,2
0000000072022091220221221,20221127,2
0000000072022091220221221,20221204,2
0000000072022091220221221,20221211,2
0000000072022091220221221,20221218,2
0000000072022091220230610,20220918,2
0000000072022091220230610,20220925,2
0000000072022091220230610,20221002,2
0000000072022091220230610,20221009,2
0000000072022091220230610,20221016,2
0000000072022091220230610,20221023,2
0000000072022091220230610,20221030,2
0000000072022091220230610,20221106,2
0000000072022091220230610,20221113,2
0000000072022091220230610,20221120,2
0000000072022091220230610,20221127,2
0000000072022091220230610,20221204,2
0000000072022091220230610,20221211,2
0000000072022091220230610,20221218,2
0000000072022091220230610,20221225,2
0000000082022061220220731,20220612,2
0000000082022061220220731,20220619,2
0000000082022061220220731,20220626,2
0000000082022061220220731,20220703,2
0000000082022061220220731,20220710,2
0000000082022061220220731,20220717,2
0000000082022061220220731,20220724,2
0000000082022061220220731,20220731,2
0000000082022090120230610,20220904,2
0000000082022090120230610,20220911,2
0000000082022090120230610,20220918,2
0000000082022090120230610,20220925,2
0000000082022090120230610,20221002,2
0000000082022090120230610,20221009,2
0000000082022090120230610,20221016,2
0000000082022090120230610,20221023,2
0000000082022090120230610,20221030,2
0000000082022090120230610,20221106,2
0000000082022090120230610,20221113,2
0000000082022090120230610,20221120,2
0000000082022090120230610,20221127,2
0000000082022090120230610,20221204,2
0000000082022090120230610,20221211,2
0000000082022090120230610,20221218,2
0000000082022090120230610,20221225,2
0000000082022091220221221,20220918,2
0000000082022091220221221,20220925,2
0000000082022091220221221,20221002,2
0000000082022091220221221,20221009,2
0000000082022091220221221,20221016,2
0000000082022091220221221,20221023,2
0000000082022091220221221,20221030,2
0000000082022091220221221,20221106,2
0000000082022091220221221,20221113,2
0000000082022091220221221,20221120,2
0000000082022091220221221,20221127,2
0000000082022091220221221,20221204,2
0000000082022091220221221,20221211,2
0000000082022091220221221,20221218,2
